year,round,circuitId,name,date,wiki_url,fp1_date,fp2_date,fp3_date,qualifying_date,sprint_date
17,2,13,Belgian Grand Prix,1966-06-12 00:00:00Z,http://en.wikipedia.org/wiki/1966_Belgian_Grand_Prix,,,,,
17,3,55,French Grand Prix,1966-07-03 00:00:00Z,http://en.wikipedia.org/wiki/1966_French_Grand_Prix,,,,,
17,4,38,British Grand Prix,1966-07-16 00:00:00Z,http://en.wikipedia.org/wiki/1966_British_Grand_Prix,,,,,
17,5,39,Dutch Grand Prix,1966-07-24 00:00:00Z,http://en.wikipedia.org/wiki/1966_Dutch_Grand_Prix,,,,,
17,6,20,German Grand Prix,1966-08-07 00:00:00Z,http://en.wikipedia.org/wiki/1966_German_Grand_Prix,,,,,
17,7,14,Italian Grand Prix,1966-09-04 00:00:00Z,http://en.wikipedia.org/wiki/1966_Italian_Grand_Prix,,,,,
17,8,46,United States Grand Prix,1966-10-02 00:00:00Z,http://en.wikipedia.org/wiki/1966_United_States_Grand_Prix,,,,,
17,9,32,Mexican Grand Prix,1966-10-23 00:00:00Z,http://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix,,,,,
18,1,30,South African Grand Prix,1967-01-02 00:00:00Z,http://en.wikipedia.org/wiki/1967_South_African_Grand_Prix,,,,,
18,2,6,Monaco Grand Prix,1967-05-07 00:00:00Z,http://en.wikipedia.org/wiki/1967_Monaco_Grand_Prix,,,,,
18,3,39,Dutch Grand Prix,1967-06-04 00:00:00Z,http://en.wikipedia.org/wiki/1967_Dutch_Grand_Prix,,,,,
18,4,13,Belgian Grand Prix,1967-06-18 00:00:00Z,http://en.wikipedia.org/wiki/1967_Belgian_Grand_Prix,,,,,
18,5,54,French Grand Prix,1967-07-02 00:00:00Z,http://en.wikipedia.org/wiki/1967_French_Grand_Prix,,,,,
18,6,9,British Grand Prix,1967-07-15 00:00:00Z,http://en.wikipedia.org/wiki/1967_British_Grand_Prix,,,,,
18,7,20,German Grand Prix,1967-08-06 00:00:00Z,http://en.wikipedia.org/wiki/1967_German_Grand_Prix,,,,,
18,8,48,Canadian Grand Prix,1967-08-27 00:00:00Z,http://en.wikipedia.org/wiki/1967_Canadian_Grand_Prix,,,,,
18,9,14,Italian Grand Prix,1967-09-10 00:00:00Z,http://en.wikipedia.org/wiki/1967_Italian_Grand_Prix,,,,,
18,10,46,United States Grand Prix,1967-10-01 00:00:00Z,http://en.wikipedia.org/wiki/1967_United_States_Grand_Prix,,,,,
18,11,32,Mexican Grand Prix,1967-10-22 00:00:00Z,http://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix,,,,,
19,1,30,South African Grand Prix,1968-01-01 00:00:00Z,http://en.wikipedia.org/wiki/1968_South_African_Grand_Prix,,,,,
19,2,45,Spanish Grand Prix,1968-05-12 00:00:00Z,http://en.wikipedia.org/wiki/1968_Spanish_Grand_Prix,,,,,
19,3,6,Monaco Grand Prix,1968-05-26 00:00:00Z,http://en.wikipedia.org/wiki/1968_Monaco_Grand_Prix,,,,,
19,4,13,Belgian Grand Prix,1968-06-09 00:00:00Z,http://en.wikipedia.org/wiki/1968_Belgian_Grand_Prix,,,,,
19,5,39,Dutch Grand Prix,1968-06-23 00:00:00Z,http://en.wikipedia.org/wiki/1968_Dutch_Grand_Prix,,,,,
19,6,53,French Grand Prix,1968-07-07 00:00:00Z,http://en.wikipedia.org/wiki/1968_French_Grand_Prix,,,,,
19,7,38,British Grand Prix,1968-07-20 00:00:00Z,http://en.wikipedia.org/wiki/1968_British_Grand_Prix,,,,,
19,8,20,German Grand Prix,1968-08-04 00:00:00Z,http://en.wikipedia.org/wiki/1968_German_Grand_Prix,,,,,
19,9,14,Italian Grand Prix,1968-09-08 00:00:00Z,http://en.wikipedia.org/wiki/1968_Italian_Grand_Prix,,,,,
19,10,52,Canadian Grand Prix,1968-09-22 00:00:00Z,http://en.wikipedia.org/wiki/1968_Canadian_Grand_Prix,,,,,
19,11,46,United States Grand Prix,1968-10-06 00:00:00Z,http://en.wikipedia.org/wiki/1968_United_States_Grand_Prix,,,,,
19,12,32,Mexican Grand Prix,1968-11-03 00:00:00Z,http://en.wikipedia.org/wiki/1968_Mexican_Grand_Prix,,,,,
20,1,30,South African Grand Prix,1969-03-01 00:00:00Z,http://en.wikipedia.org/wiki/1969_South_African_Grand_Prix,,,,,
20,2,49,Spanish Grand Prix,1969-05-04 00:00:00Z,http://en.wikipedia.org/wiki/1969_Spanish_Grand_Prix,,,,,
20,3,6,Monaco Grand Prix,1969-05-18 00:00:00Z,http://en.wikipedia.org/wiki/1969_Monaco_Grand_Prix,,,,,
20,4,39,Dutch Grand Prix,1969-06-21 00:00:00Z,http://en.wikipedia.org/wiki/1969_Dutch_Grand_Prix,,,,,
20,5,51,French Grand Prix,1969-07-06 00:00:00Z,http://en.wikipedia.org/wiki/1969_French_Grand_Prix,,,,,
