"id","created_at","updated_at","season_id","circuit_id","round","name","date","fp1_date","fp2_date","fp3_date","qualifying_date","sprint_date","wiki_url"
116,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",14,9,5,"British Grand Prix","1963-07-20 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1963_British_Grand_Prix"
117,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",14,20,6,"German Grand Prix","1963-08-04 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1963_German_Grand_Prix"
118,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",14,14,7,"Italian Grand Prix","1963-09-08 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1963_Italian_Grand_Prix"
119,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",14,46,8,"United States Grand Prix","1963-10-06 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1963_United_States_Grand_Prix"
120,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",14,32,9,"Mexican Grand Prix","1963-10-27 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1963_Mexican_Grand_Prix"
121,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",14,56,10,"South African Grand Prix","1963-12-28 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1963_South_African_Grand_Prix"
122,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",15,6,1,"Monaco Grand Prix","1964-05-10 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1964_Monaco_Grand_Prix"
123,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",15,39,2,"Dutch Grand Prix","1964-05-24 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1964_Dutch_Grand_Prix"
124,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",15,13,3,"Belgian Grand Prix","1964-06-14 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1964_Belgian_Grand_Prix"
125,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",15,53,4,"French Grand Prix","1964-06-28 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1964_French_Grand_Prix"
126,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",15,38,5,"British Grand Prix","1964-07-11 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1964_British_Grand_Prix"
127,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",15,20,6,"German Grand Prix","1964-08-02 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1964_German_Grand_Prix"
128,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",15,57,7,"Austrian Grand Prix","1964-08-23 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1964_Austrian_Grand_Prix"
129,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",15,14,8,"Italian Grand Prix","1964-09-06 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1964_Italian_Grand_Prix"
130,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",15,46,9,"United States Grand Prix","1964-10-04 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1964_United_States_Grand_Prix"
131,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",15,32,10,"Mexican Grand Prix","1964-10-25 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1964_Mexican_Grand_Prix"
132,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",16,56,1,"South African Grand Prix","1965-01-01 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1965_South_African_Grand_Prix"
133,"2023-10-20 01:08:57.778882","2023-10-20 01:08:57.778882",16,6,2,"Monaco Grand Prix","1965-05-30 00:00:00",,,,,,"http://en.wikipedia.org/wiki/1965_Monaco_Grand_Prix"
