"id","created_at","updated_at","name","reference","nationality","wiki_url"
119,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Moore","moore","American","http://en.wikipedia.org/wiki/Moore_(constructor)"
120,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Dunn","dunn","American","http://en.wikipedia.org/wiki/Dunn_Engineering"
121,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Elder","elder","American","http://en.wikipedia.org/wiki/Elder_(constructor)"
122,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Sutton","sutton","American","http://en.wikipedia.org/wiki/Sutton_(constructor)"
123,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Fry","fry","British","http://en.wikipedia.org/wiki/Fry_(racing_team)"
124,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Tec-Mec","tec-mec","Italian","http://en.wikipedia.org/wiki/Tec-Mec"
125,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Connaught","connaught","British","http://en.wikipedia.org/wiki/Connaught_Engineering"
126,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Alta","alta","British","http://en.wikipedia.org/wiki/Alta_auto_racing_team"
127,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","OSCA","osca","Italian","http://en.wikipedia.org/wiki/Officine_Specializate_Costruzione_Automobili"
128,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Gordini","gordini","French","http://en.wikipedia.org/wiki/Gordini"
129,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Stevens","stevens","American","http://en.wikipedia.org/wiki/Stevens_(constructor)"
130,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Bugatti","bugatti","French","http://en.wikipedia.org/wiki/Bugatti"
131,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Mercedes","mercedes","German","http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One"
132,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Lancia","lancia","Italian","http://en.wikipedia.org/wiki/Lancia_in_Formula_One"
133,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","HWM","hwm","British","http://en.wikipedia.org/wiki/Hersham_and_Walton_Motors"
134,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Schroeder","schroeder","American","http://en.wikipedia.org/wiki/Schroeder_(constructor)"
135,"2023-10-19 18:53:40.615142","2023-10-19 18:53:40.615142","Pawl","pawl","American","http://en.wikipedia.org/wiki/Pawl_(constructor)"
